Assessment Name,URL,Description,Job Levels,Supported Languages,Assessment Length,Job Title,Test Type Categories,Remote Testing Support,Adaptive/IRT Support,,combined_text
Communication Skills - Listening,https://www.shl.com/products/product-catalog/view/communication-skills-listening/,"Communication Skills - Listening Description This assessment measures effective listening abilities. It might include audio or written scenarios where a candidate must pick out key information, interpret tone or implications, or answer questions demonstrating comprehension. It’s important for roles where understanding spoken information is crucial (like customer service, management, or counseling). The test may use dialogues or monologues and then pose questions to ensure the candidate can accurately recall and respond to what was communicated.",General Population,,10.0,,['Personality & Behavior'],Yes,Yes,,"Communication Skills - Listening Communication Skills - Listening Description This assessment measures effective listening abilities. It might include audio or written scenarios where a candidate must pick out key information, interpret tone or implications, or answer questions demonstrating comprehension. It’s important for roles where understanding spoken information is crucial (like customer service, management, or counseling). The test may use dialogues or monologues and then pose questions to ensure the candidate can accurately recall and respond to what was communicated.  ['Personality & Behavior']"
Communication Skills - Reading Comprehension,https://www.shl.com/products/product-catalog/view/communication-skills-reading-comprehension/,"Communication Skills - Reading Comprehension Description This test evaluates how well a person understands written text. It provides passages followed by questions about content, inferences, or meanings of words in context. It assesses ability to extract important details and interpret written information correctly. This skill is critical in many jobs for following procedures, analyzing reports, or comprehending written instructions, so this test is widely applicable across roles and industries.",General Population,,10.0,,['Personality & Behavior'],Yes,Yes,,"Communication Skills - Reading Comprehension Communication Skills - Reading Comprehension Description This test evaluates how well a person understands written text. It provides passages followed by questions about content, inferences, or meanings of words in context. It assesses ability to extract important details and interpret written information correctly. This skill is critical in many jobs for following procedures, analyzing reports, or comprehending written instructions, so this test is widely applicable across roles and industries.  ['Personality & Behavior']"
Communication Skills - Writing,https://www.shl.com/products/product-catalog/view/communication-skills-writing/,"Communication Skills - Writing Description This assessment measures written communication effectiveness. It could involve drafting short responses or editing text for grammar, clarity, and tone. The test may cover spelling, punctuation, and structure, and possibly the ability to convey information succinctly in writing. It is useful for any position that requires report writing, emailing clients, documentation, or any form of written correspondence, ensuring the candidate can present ideas clearly and professionally in writing.",General Population,,10.0,,['Knowledge & Skills'],Yes,Yes,,"Communication Skills - Writing Communication Skills - Writing Description This assessment measures written communication effectiveness. It could involve drafting short responses or editing text for grammar, clarity, and tone. The test may cover spelling, punctuation, and structure, and possibly the ability to convey information succinctly in writing. It is useful for any position that requires report writing, emailing clients, documentation, or any form of written correspondence, ensuring the candidate can present ideas clearly and professionally in writing.  ['Knowledge & Skills']"
Computer Literacy - Basic IT,https://www.shl.com/products/product-catalog/view/computer-literacy-basic-it/,"Computer Literacy - Basic IT Description This test evaluates foundational computer skills. It likely includes understanding of operating systems (like using Windows OS), basic troubleshooting, usage of common software (like word processors, spreadsheets, email), and maybe a little about internet usage and safety. It's targeted at ensuring a candidate has the basic digital skills needed in a modern workplace, particularly for entry-level or clerical roles.","Entry-Level, General Population",,15.0,,['Knowledge & Skills'],Yes,Yes,,"Computer Literacy - Basic IT Computer Literacy - Basic IT Description This test evaluates foundational computer skills. It likely includes understanding of operating systems (like using Windows OS), basic troubleshooting, usage of common software (like word processors, spreadsheets, email), and maybe a little about internet usage and safety. It's targeted at ensuring a candidate has the basic digital skills needed in a modern workplace, particularly for entry-level or clerical roles.  ['Knowledge & Skills']"
Computer Literacy - Basic PC,https://www.shl.com/products/product-catalog/view/computer-literacy-basic-pc/,"Computer Literacy - Basic PC Description Similar to Basic IT, this assessment measures the ability to use personal computers. It likely covers basics like using a mouse and keyboard, file management (opening, saving, deleting files), and running simple applications. It’s very rudimentary and ensures someone can handle a PC for everyday tasks. It might be used in hiring for roles where some computer use is required but not much beyond fundamentals (perhaps positions in retail or manufacturing where PC use is minimal but necessary).","Entry-Level, General Population",,15.0,,['Knowledge & Skills'],Yes,Yes,,"Computer Literacy - Basic PC Computer Literacy - Basic PC Description Similar to Basic IT, this assessment measures the ability to use personal computers. It likely covers basics like using a mouse and keyboard, file management (opening, saving, deleting files), and running simple applications. It’s very rudimentary and ensures someone can handle a PC for everyday tasks. It might be used in hiring for roles where some computer use is required but not much beyond fundamentals (perhaps positions in retail or manufacturing where PC use is minimal but necessary).  ['Knowledge & Skills']"
Computer Literacy - Internet,https://www.shl.com/products/product-catalog/view/computer-literacy-internet/,"Computer Literacy - Internet Description This test focuses on using the internet. It includes using web browsers, search engines, understanding URLs, maybe using cloud-based email, and internet safety (identifying secure websites, avoiding phishing). It ensures that a candidate can navigate online tools and resources, which is essential in virtually all jobs today. It might also test knowledge of social media or basic concepts like downloading/uploading files or using online forms.","Entry-Level, General Population",,15.0,,['Knowledge & Skills'],Yes,Yes,,"Computer Literacy - Internet Computer Literacy - Internet Description This test focuses on using the internet. It includes using web browsers, search engines, understanding URLs, maybe using cloud-based email, and internet safety (identifying secure websites, avoiding phishing). It ensures that a candidate can navigate online tools and resources, which is essential in virtually all jobs today. It might also test knowledge of social media or basic concepts like downloading/uploading files or using online forms.  ['Knowledge & Skills']"
Compliance and Conscientiousness,https://www.shl.com/products/product-catalog/view/compliance-and-conscientiousness/,"Compliance and Conscientiousness Description This likely is a personality or behavioral assessment focusing on how closely an individual adheres to rules and procedures (compliance) and their sense of duty and thoroughness (conscientiousness). It probably presents statements or scenarios to gauge reliability, rule-following, attention to detail, and work ethic. Employers use this to predict whether a candidate will be dependable, follow required guidelines, and be diligent in their role, which is valuable in regulated industries or roles requiring high accuracy.",General Population,,14.0,,['Personality & Behavior'],Yes,Yes,,"Compliance and Conscientiousness Compliance and Conscientiousness Description This likely is a personality or behavioral assessment focusing on how closely an individual adheres to rules and procedures (compliance) and their sense of duty and thoroughness (conscientiousness). It probably presents statements or scenarios to gauge reliability, rule-following, attention to detail, and work ethic. Employers use this to predict whether a candidate will be dependable, follow required guidelines, and be diligent in their role, which is valuable in regulated industries or roles requiring high accuracy.  ['Personality & Behavior']"
Conscientiousness (Short),https://www.shl.com/products/product-catalog/view/conscientiousness-short/,"Conscientiousness (Short) Description This is a brief personality measure focusing specifically on conscientiousness – one of the Big Five personality traits. It will include items that determine how organized, responsible, and hardworking a person is. As a short form, it gives a quick indication of this trait. High conscientiousness often correlates with good job performance, especially in roles that require self-discipline and reliability. It's used across various industries as part of personality questionnaires.",General Population,,6.0,,['Personality & Behavior'],Yes,Yes,,"Conscientiousness (Short) Conscientiousness (Short) Description This is a brief personality measure focusing specifically on conscientiousness – one of the Big Five personality traits. It will include items that determine how organized, responsible, and hardworking a person is. As a short form, it gives a quick indication of this trait. High conscientiousness often correlates with good job performance, especially in roles that require self-discipline and reliability. It's used across various industries as part of personality questionnaires.  ['Personality & Behavior']"
Construction and Extraction (Short),https://www.shl.com/products/product-catalog/view/construction-and-extraction-short/,"Construction and Extraction (Short) Description This might be an assessment of basic knowledge or aptitude for roles in construction and extraction (mining, drilling, etc.), given a short format. It could include mechanical comprehension, safety knowledge, tool identification, or simple spatial reasoning tasks (like reading blueprints or diagrams). Essentially, it's used to gauge whether an individual has the fundamental aptitudes and understanding for entry-level jobs in construction or resource extraction fields.",Entry-Level,,14.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']",Yes,Yes,,"Construction and Extraction (Short) Construction and Extraction (Short) Description This might be an assessment of basic knowledge or aptitude for roles in construction and extraction (mining, drilling, etc.), given a short format. It could include mechanical comprehension, safety knowledge, tool identification, or simple spatial reasoning tasks (like reading blueprints or diagrams). Essentially, it's used to gauge whether an individual has the fundamental aptitudes and understanding for entry-level jobs in construction or resource extraction fields.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']"
Contact Center Data Entry Speed,https://www.shl.com/products/product-catalog/view/contact-center-data-entry-speed/,"Contact Center Data Entry Speed Description This is essentially the same as the earlier 'Call Center Data Entry Speed'—a test of how quickly and accurately one can input data, likely under multitasking conditions like listening to caller info and typing simultaneously. It ensures a contact center agent can record information without delay and minimal error. Perhaps it’s branded separately for contact center contexts (which may include various channels) vs. call center (voice-specific), but content is likely similar.","Entry-Level, General Population",,2.0,,['Knowledge & Skills'],Yes,Yes,,"Contact Center Data Entry Speed Contact Center Data Entry Speed Description This is essentially the same as the earlier 'Call Center Data Entry Speed'—a test of how quickly and accurately one can input data, likely under multitasking conditions like listening to caller info and typing simultaneously. It ensures a contact center agent can record information without delay and minimal error. Perhaps it’s branded separately for contact center contexts (which may include various channels) vs. call center (voice-specific), but content is likely similar.  ['Knowledge & Skills']"
Contact Center Listening,https://www.shl.com/products/product-catalog/view/contact-center-listening/,"Contact Center Listening Description This assessment evaluates a candidate’s listening skills specifically in a contact center scenario. It probably involves listening to simulated customer calls and answering questions about the content, or identifying the caller’s needs and emotions. It measures active listening, comprehension under possibly distracting conditions, and the ability to catch details. Effective listening is critical in contact centers for resolving issues correctly and efficiently.","Entry-Level, General Population",,5.0,,"['Ability & Aptitude', 'Personality & Behavior']",Yes,Yes,,"Contact Center Listening Contact Center Listening Description This assessment evaluates a candidate’s listening skills specifically in a contact center scenario. It probably involves listening to simulated customer calls and answering questions about the content, or identifying the caller’s needs and emotions. It measures active listening, comprehension under possibly distracting conditions, and the ability to catch details. Effective listening is critical in contact centers for resolving issues correctly and efficiently.  ['Ability & Aptitude', 'Personality & Behavior']"
Contact Center Retention,https://www.shl.com/products/product-catalog/view/contact-center-retention/,"Contact Center Retention Description This likely mirrors the earlier 'Call Center Retention' test: situational judgment and skill assessment for retaining customers in a contact center. It may involve multiple channels (phone, chat, email) given the broader 'contact center' term. The focus is on how an agent handles scenarios where customers want to leave a service, and how well they can turn it around. It assesses persuasion, patience, empathy, and problem-solving to keep customers from churning.","Entry-Level, Professional Individual Contributor",,17.0,,['Personality & Behavior'],Yes,Yes,,"Contact Center Retention Contact Center Retention Description This likely mirrors the earlier 'Call Center Retention' test: situational judgment and skill assessment for retaining customers in a contact center. It may involve multiple channels (phone, chat, email) given the broader 'contact center' term. The focus is on how an agent handles scenarios where customers want to leave a service, and how well they can turn it around. It assesses persuasion, patience, empathy, and problem-solving to keep customers from churning.  ['Personality & Behavior']"
Contact Center Scheduling,https://www.shl.com/products/product-catalog/view/contact-center-scheduling/,"Contact Center Scheduling Description Similar to the call center scheduling, this test likely assesses understanding of workforce management in a contact center. It could involve planning agent shifts to meet projected contact volumes, perhaps including scenarios with multiple channels. It tests basic math and logical thinking in allocating resources (agents) to tasks (customer contacts) efficiently, ensuring minimal wait times and adequate coverage. Ideal for roles involving scheduling or for contact center managers.","Professional Individual Contributor, Mid-Professional",,15.0,,['Knowledge & Skills'],Yes,Yes,,"Contact Center Scheduling Contact Center Scheduling Description Similar to the call center scheduling, this test likely assesses understanding of workforce management in a contact center. It could involve planning agent shifts to meet projected contact volumes, perhaps including scenarios with multiple channels. It tests basic math and logical thinking in allocating resources (agents) to tasks (customer contacts) efficiently, ensuring minimal wait times and adequate coverage. Ideal for roles involving scheduling or for contact center managers.  ['Knowledge & Skills']"
Contact Center Typing Speed,https://www.shl.com/products/product-catalog/view/contact-center-typing-speed/,"Contact Center Typing Speed Description This is the same concept as 'Call Center Typing Speed' — measuring how fast and accurately someone can type, presumably while engaged in contact center tasks. It's a straightforward typing test, ensuring that an agent can handle chat support or note-taking quickly. In multi-channel contact centers, typing speed is crucial for chat/email handling and documentation. High speeds with low error rates indicate a candidate can manage multiple contacts efficiently.","Entry-Level, General Population",,1.0,,['Knowledge & Skills'],Yes,Yes,,"Contact Center Typing Speed Contact Center Typing Speed Description This is the same concept as 'Call Center Typing Speed' — measuring how fast and accurately someone can type, presumably while engaged in contact center tasks. It's a straightforward typing test, ensuring that an agent can handle chat support or note-taking quickly. In multi-channel contact centers, typing speed is crucial for chat/email handling and documentation. High speeds with low error rates indicate a candidate can manage multiple contacts efficiently.  ['Knowledge & Skills']"
Contact Center Video Interview,https://www.shl.com/products/product-catalog/view/contact-center-video-interview/,"Contact Center Video Interview Description This is likely a structured video interview tool for contact center roles. It would present questions or scenarios relevant to customer service, and the candidate would provide recorded responses. Questions might cover how they handle difficult customers, multitask, or stay calm under pressure. This method allows employers to assess communication skills, language proficiency, and personality fit without a live interview. It's an asynchronous way to screen many candidates on soft skills.","Entry-Level, Professional Individual Contributor",,,,['Personality & Behavior'],Yes,Yes,,"Contact Center Video Interview Contact Center Video Interview Description This is likely a structured video interview tool for contact center roles. It would present questions or scenarios relevant to customer service, and the candidate would provide recorded responses. Questions might cover how they handle difficult customers, multitask, or stay calm under pressure. This method allows employers to assess communication skills, language proficiency, and personality fit without a live interview. It's an asynchronous way to screen many candidates on soft skills.  ['Personality & Behavior']"
Continuous Improvement (Short),https://www.shl.com/products/product-catalog/view/continuous-improvement-short/,"Continuous Improvement (Short) Description This likely is a short assessment measuring a person's orientation towards continuous improvement and process optimization. It could be a personality-based measure or situational judgment test focusing on how an individual seeks to improve work processes, their openness to feedback, and creative problem-solving for efficiency. It's valuable for roles in quality assurance, operations, or any position where fostering ongoing improvement is part of the culture (like Lean or Six Sigma environments).",General Population,,6.0,,['Personality & Behavior'],Yes,Yes,,"Continuous Improvement (Short) Continuous Improvement (Short) Description This likely is a short assessment measuring a person's orientation towards continuous improvement and process optimization. It could be a personality-based measure or situational judgment test focusing on how an individual seeks to improve work processes, their openness to feedback, and creative problem-solving for efficiency. It's valuable for roles in quality assurance, operations, or any position where fostering ongoing improvement is part of the culture (like Lean or Six Sigma environments).  ['Personality & Behavior']"
Contact Center - Customer Sales,https://www.shl.com/products/product-catalog/view/contact-center-customer-sales/,"Contact Center - Customer Sales Description This is an assessment for contact center roles that involve sales duties (like upselling or telemarketing). It probably measures persuasion, closing techniques, resilience to rejection, and product knowledge application. It might present scenarios where the agent has to respond to a customer objection with a value proposition or decide which product to pitch based on customer cues. The test identifies people who can not only service calls but also drive sales in a contact center environment.","Entry-Level, Professional Individual Contributor",,17.0,,['Personality & Behavior'],Yes,Yes,,"Contact Center - Customer Sales Contact Center - Customer Sales Description This is an assessment for contact center roles that involve sales duties (like upselling or telemarketing). It probably measures persuasion, closing techniques, resilience to rejection, and product knowledge application. It might present scenarios where the agent has to respond to a customer objection with a value proposition or decide which product to pitch based on customer cues. The test identifies people who can not only service calls but also drive sales in a contact center environment.  ['Personality & Behavior']"
Contracter (Short),https://www.shl.com/products/product-catalog/view/contracter-short/,"Contracter (Short) Description Possibly a misspelling of ""Contractor"" or something similar, but assuming it is an assessment: It might measure traits relevant to contract-based or gig workers, or maybe it’s about someone who constructs (though spelled differently). If it's personality, it might gauge independence, initiative, and adaptability (traits useful for contractors). As short form, it could be a quick check of reliability and self-management, since contractors often work with less supervision. The exact intent is a bit unclear without more context.",General Population,,9.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']",Yes,Yes,,"Contracter (Short) Contracter (Short) Description Possibly a misspelling of ""Contractor"" or something similar, but assuming it is an assessment: It might measure traits relevant to contract-based or gig workers, or maybe it’s about someone who constructs (though spelled differently). If it's personality, it might gauge independence, initiative, and adaptability (traits useful for contractors). As short form, it could be a quick check of reliability and self-management, since contractors often work with less supervision. The exact intent is a bit unclear without more context.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']"
Corporate Etiquette,https://www.shl.com/products/product-catalog/view/corporate-etiquette/,"Corporate Etiquette Description This assessment likely measures understanding of professional behavior and workplace etiquette. It could present scenarios about office interactions, email communications, meeting conduct, or handling conflicts diplomatically. It gauges whether a candidate knows how to act professionally in a corporate setting—like appropriate dress, respectful communication, following hierarchy protocols, and collaborative behavior. It’s useful for roles in formal corporate environments where soft skills and politeness are crucial.",General Population,,12.0,,['Personality & Behavior'],Yes,Yes,,"Corporate Etiquette Corporate Etiquette Description This assessment likely measures understanding of professional behavior and workplace etiquette. It could present scenarios about office interactions, email communications, meeting conduct, or handling conflicts diplomatically. It gauges whether a candidate knows how to act professionally in a corporate setting—like appropriate dress, respectful communication, following hierarchy protocols, and collaborative behavior. It’s useful for roles in formal corporate environments where soft skills and politeness are crucial.  ['Personality & Behavior']"
Creative Thinking,https://www.shl.com/products/product-catalog/view/creative-thinking/,"Creative Thinking Description This assessment measures a candidate’s ability to think outside the box, generate innovative ideas, and approach problems in novel ways. It could involve tasks like pattern recognition with a twist, brainstorming usage for an object, or scenario-based questions that allow multiple solutions, to see if the candidate can come up with original responses. It might also be a personality-based measure indicating openness to new experiences. Organizations use it when roles require innovation and adaptability.",General Population,,6.0,,['Ability & Aptitude'],Yes,Yes,,"Creative Thinking Creative Thinking Description This assessment measures a candidate’s ability to think outside the box, generate innovative ideas, and approach problems in novel ways. It could involve tasks like pattern recognition with a twist, brainstorming usage for an object, or scenario-based questions that allow multiple solutions, to see if the candidate can come up with original responses. It might also be a personality-based measure indicating openness to new experiences. Organizations use it when roles require innovation and adaptability.  ['Ability & Aptitude']"
Cross-Cultural Competency,https://www.shl.com/products/product-catalog/view/cross-cultural-competency/,"Cross-Cultural Competency Description This test likely evaluates how well an individual can work in diverse cultural settings. It might include scenarios about communication across cultures, understanding different business etiquette, and adaptability to unfamiliar cultural norms. It often assesses openness, respect for differences, and perhaps some knowledge of global cultural practices. Employers, especially multinationals, use this to see if employees or leaders can navigate and thrive in a multicultural environment.","Professional Individual Contributor, Mid-Professional",,16.0,,['Personality & Behavior'],Yes,Yes,,"Cross-Cultural Competency Cross-Cultural Competency Description This test likely evaluates how well an individual can work in diverse cultural settings. It might include scenarios about communication across cultures, understanding different business etiquette, and adaptability to unfamiliar cultural norms. It often assesses openness, respect for differences, and perhaps some knowledge of global cultural practices. Employers, especially multinationals, use this to see if employees or leaders can navigate and thrive in a multicultural environment.  ['Personality & Behavior']"
Customer Focus (Short),https://www.shl.com/products/product-catalog/view/customer-focus-short/,"Customer Focus (Short) Description This is a short assessment likely measuring how oriented a person is to customer needs and satisfaction. It could be a short personality test focusing on traits like empathy, helpfulness, patience, and service orientation. Possibly it could include a few scenario-based items to see how one prioritizes customer versus other tasks. It's useful for any role with customer interaction (sales, support, etc.), ensuring the candidate inherently values and strives for good customer outcomes.",General Population,,6.0,,['Personality & Behavior'],Yes,Yes,,"Customer Focus (Short) Customer Focus (Short) Description This is a short assessment likely measuring how oriented a person is to customer needs and satisfaction. It could be a short personality test focusing on traits like empathy, helpfulness, patience, and service orientation. Possibly it could include a few scenario-based items to see how one prioritizes customer versus other tasks. It's useful for any role with customer interaction (sales, support, etc.), ensuring the candidate inherently values and strives for good customer outcomes.  ['Personality & Behavior']"
Customer Service Assessment (CSA),https://www.shl.com/products/product-catalog/view/customer-service-assessment-csa/,"Customer Service Assessment (CSA) Description This is an overall test for customer service roles. CSA likely includes a mix of situational judgment questions, personality items (like measuring patience and positivity), and maybe some basic skills (like listening comprehension or data entry). It might be a suite that gives an overall score indicating how well-suited someone is to customer service work. It would cover handling difficult customers, communication clarity, and problem resolution, providing a holistic view of customer service capability.","Entry-Level, General Population",,36.0,,"['Personality & Behavior', 'Simulations']",Yes,Yes,,"Customer Service Assessment (CSA) Customer Service Assessment (CSA) Description This is an overall test for customer service roles. CSA likely includes a mix of situational judgment questions, personality items (like measuring patience and positivity), and maybe some basic skills (like listening comprehension or data entry). It might be a suite that gives an overall score indicating how well-suited someone is to customer service work. It would cover handling difficult customers, communication clarity, and problem resolution, providing a holistic view of customer service capability.  ['Personality & Behavior', 'Simulations']"
Data Entry - Alphanumeric,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric/,"Data Entry - Alphanumeric Description This test measures the ability to quickly and accurately enter data that includes both letters and numbers. It likely involves typing long strings of mixed characters, or filling out forms with names and addresses, etc. The focus is on speed (keystrokes per hour or WPM) and accuracy when dealing with any type of character. Roles that require entering serial numbers, mixed codes, or any text and numeric information (like inventory systems) would use this to ensure proficiency.","Entry-Level, General Population",,5.0,,['Knowledge & Skills'],Yes,Yes,,"Data Entry - Alphanumeric Data Entry - Alphanumeric Description This test measures the ability to quickly and accurately enter data that includes both letters and numbers. It likely involves typing long strings of mixed characters, or filling out forms with names and addresses, etc. The focus is on speed (keystrokes per hour or WPM) and accuracy when dealing with any type of character. Roles that require entering serial numbers, mixed codes, or any text and numeric information (like inventory systems) would use this to ensure proficiency.  ['Knowledge & Skills']"
Data Entry - Audio Transcription,https://www.shl.com/products/product-catalog/view/data-entry-audio-transcription/,"Data Entry - Audio Transcription Description This assessment likely plays audio passages (like recordings of numbers, codes, or short statements) that the candidate must transcribe accurately and quickly. It tests a combination of listening and typing skills. Commonly used for roles like transcribers, court reporters, or certain administrative jobs where taking dictated information is required. It ensures candidates can keep up with spoken input and accurately capture it in written form.","Entry-Level, General Population",,5.0,,['Knowledge & Skills'],Yes,Yes,,"Data Entry - Audio Transcription Data Entry - Audio Transcription Description This assessment likely plays audio passages (like recordings of numbers, codes, or short statements) that the candidate must transcribe accurately and quickly. It tests a combination of listening and typing skills. Commonly used for roles like transcribers, court reporters, or certain administrative jobs where taking dictated information is required. It ensures candidates can keep up with spoken input and accurately capture it in written form.  ['Knowledge & Skills']"
Data Entry - Numeric,https://www.shl.com/products/product-catalog/view/data-entry-numeric/,"Data Entry - Numeric Description This test focuses on entering numbers rapidly and accurately. It may include typing long lists of numbers, such as ID numbers, financial figures, or product codes, to measure keystrokes per hour and error rate. It's crucial for jobs like accounting clerks, inventory control, or any position where one must key in numeric data (e.g., entering check amounts, phone numbers). High performance indicates someone who can handle a volume of numerical data with minimal mistakes.","Entry-Level, General Population",,5.0,,['Knowledge & Skills'],Yes,Yes,,"Data Entry - Numeric Data Entry - Numeric Description This test focuses on entering numbers rapidly and accurately. It may include typing long lists of numbers, such as ID numbers, financial figures, or product codes, to measure keystrokes per hour and error rate. It's crucial for jobs like accounting clerks, inventory control, or any position where one must key in numeric data (e.g., entering check amounts, phone numbers). High performance indicates someone who can handle a volume of numerical data with minimal mistakes.  ['Knowledge & Skills']"
Data Entry - Text,https://www.shl.com/products/product-catalog/view/data-entry-text/,"Data Entry - Text Description This test measures how quickly and accurately someone can input text (letters and words) from one medium to another. It might involve typing printed text or what’s on the screen. It's similar to a typing test but focused on everyday text as opposed to random letters (alphanumeric). It’s used to ensure that clerks, secretaries, or support staff can handle tasks like typing forms, emails, or documents efficiently without excessive errors.","Entry-Level, General Population",,5.0,,['Knowledge & Skills'],Yes,Yes,,"Data Entry - Text Data Entry - Text Description This test measures how quickly and accurately someone can input text (letters and words) from one medium to another. It might involve typing printed text or what’s on the screen. It's similar to a typing test but focused on everyday text as opposed to random letters (alphanumeric). It’s used to ensure that clerks, secretaries, or support staff can handle tasks like typing forms, emails, or documents efficiently without excessive errors.  ['Knowledge & Skills']"
Data Entry - Verbal (Audio),https://www.shl.com/products/product-catalog/view/data-entry-verbal-audio/,"Data Entry - Verbal (Audio) Description This might be similar to the audio transcription test, focusing on typing out spoken words. However, perhaps 'verbal' emphasizes understanding natural language from audio and entering it (like taking dictation). It might involve more sentence-like audio as opposed to just codes. It's testing how well someone can listen and type out what they hear in words, which is important for transcriptionists or administrative assistants who take verbal instructions.","Entry-Level, General Population",,5.0,,['Knowledge & Skills'],Yes,Yes,,"Data Entry - Verbal (Audio) Data Entry - Verbal (Audio) Description This might be similar to the audio transcription test, focusing on typing out spoken words. However, perhaps 'verbal' emphasizes understanding natural language from audio and entering it (like taking dictation). It might involve more sentence-like audio as opposed to just codes. It's testing how well someone can listen and type out what they hear in words, which is important for transcriptionists or administrative assistants who take verbal instructions.  ['Knowledge & Skills']"
Data Management,https://www.shl.com/products/product-catalog/view/data-management/,"Data Management Description This test likely assesses knowledge of managing data, possibly in databases or spreadsheets. It could include concepts like data storage, retrieval, basic SQL queries, data integrity, or the use of database tools. It might also gauge understanding of data privacy/security principles. It's useful for roles like data analysts, database administrators (entry-level), or any job where maintaining and organizing data systematically is key. The questions could be technical or scenario-based (like designing a simple database schema).","Professional Individual Contributor, Mid-Professional",,40.0,,['Knowledge & Skills'],Yes,Yes,,"Data Management Data Management Description This test likely assesses knowledge of managing data, possibly in databases or spreadsheets. It could include concepts like data storage, retrieval, basic SQL queries, data integrity, or the use of database tools. It might also gauge understanding of data privacy/security principles. It's useful for roles like data analysts, database administrators (entry-level), or any job where maintaining and organizing data systematically is key. The questions could be technical or scenario-based (like designing a simple database schema).  ['Knowledge & Skills']"
Database Design,https://www.shl.com/products/product-catalog/view/database-design/,"Database Design Description This assessment evaluates a candidate’s ability to design databases. It likely covers normalization, entity-relationship modeling, SQL queries, indexing, and perhaps specific technologies (relational databases like SQL Server, Oracle, etc.). Questions may involve reading or creating ER diagrams, optimizing a schema to remove redundancy, or choosing the right data types. It’s aimed at roles like database developers or software engineers who need to create efficient and correct database structures.","Professional Individual Contributor, Mid-Professional",English (USA),37.0,,['Knowledge & Skills'],Yes,Yes,,"Database Design Database Design Description This assessment evaluates a candidate’s ability to design databases. It likely covers normalization, entity-relationship modeling, SQL queries, indexing, and perhaps specific technologies (relational databases like SQL Server, Oracle, etc.). Questions may involve reading or creating ER diagrams, optimizing a schema to remove redundancy, or choosing the right data types. It’s aimed at roles like database developers or software engineers who need to create efficient and correct database structures.  ['Knowledge & Skills']"
Deductive Reasoning,https://www.shl.com/products/product-catalog/view/deductive-reasoning/,"Deductive Reasoning Description This cognitive test measures a person's ability to apply general rules to specific problems to arrive at logical conclusions. It may involve puzzle-like questions, syllogisms, or pattern sequences that require elimination of possibilities to deduce the correct answer. Deductive reasoning is important in roles that require logical problem solving, troubleshooting, or dealing with structured information. It's often included in a battery of cognitive tests to assess overall reasoning capabilities.","Professional Individual Contributor, General Population",,6.0,,['Ability & Aptitude'],Yes,Yes,,"Deductive Reasoning Deductive Reasoning Description This cognitive test measures a person's ability to apply general rules to specific problems to arrive at logical conclusions. It may involve puzzle-like questions, syllogisms, or pattern sequences that require elimination of possibilities to deduce the correct answer. Deductive reasoning is important in roles that require logical problem solving, troubleshooting, or dealing with structured information. It's often included in a battery of cognitive tests to assess overall reasoning capabilities.  ['Ability & Aptitude']"
Deductive Reasoning - Interpreting Data,https://www.shl.com/products/product-catalog/view/deductive-reasoning-interpreting-data/,"Deductive Reasoning - Interpreting Data Description This likely blends deductive logic with data interpretation. Candidates might be given data sets or charts and have to apply logical rules to draw conclusions. It's possibly targeting roles where one must make inferences from data (like analytical jobs). They might have to combine information from different sources or apply constraints to the data. It’s essentially testing structured thinking in the context of data analysis, ensuring candidates can deduce insights accurately from given information.","Professional Individual Contributor, General Population",,6.0,,['Ability & Aptitude'],Yes,Yes,,"Deductive Reasoning - Interpreting Data Deductive Reasoning - Interpreting Data Description This likely blends deductive logic with data interpretation. Candidates might be given data sets or charts and have to apply logical rules to draw conclusions. It's possibly targeting roles where one must make inferences from data (like analytical jobs). They might have to combine information from different sources or apply constraints to the data. It’s essentially testing structured thinking in the context of data analysis, ensuring candidates can deduce insights accurately from given information.  ['Ability & Aptitude']"
Deductive Reasoning - Interpreting Patterns,https://www.shl.com/products/product-catalog/view/deductive-reasoning-interpreting-patterns/,"Deductive Reasoning - Interpreting Patterns Description This likely focuses on logical patterns, which may be numerical, alphabetical, or symbolic. The candidate might see sequences or matrices of figures and need to determine what comes next or which item doesn't fit. It’s a classic measure of abstract reasoning ability. Often used for technical or managerial roles, as it reflects the ability to recognize underlying rules and relationships—a key skill for strategic thinking and complex problem solving.","Professional Individual Contributor, General Population",,6.0,,['Ability & Aptitude'],Yes,Yes,,"Deductive Reasoning - Interpreting Patterns Deductive Reasoning - Interpreting Patterns Description This likely focuses on logical patterns, which may be numerical, alphabetical, or symbolic. The candidate might see sequences or matrices of figures and need to determine what comes next or which item doesn't fit. It’s a classic measure of abstract reasoning ability. Often used for technical or managerial roles, as it reflects the ability to recognize underlying rules and relationships—a key skill for strategic thinking and complex problem solving.  ['Ability & Aptitude']"
